Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
70.35,2.09437,139.3593,0.01732
70.45,2.08587,130.1718,0.01731
70.55,2.07775,122.20692,0.01731
70.65,2.06925,114.07211,0.01731
70.75,2.06094,102.98862,0.01731
70.85,2.05294,94.5194,0.0173
70.95,2.04456,82.63621,0.0173
71.05,2.03606,68.75095,0.0173
71.15,2.02756,56.79285,0.01729
71.25,2.01944,53.18102,0.01729
71.35,2.011,41.8435,0.01728
71.45,2.0025,27.61208,0.01727
71.55,1.99462,8.98563,0.01727
71.57,1.99294,4.75453,0.01726
71.572,1.99275,4.32046,0.01726
71.574,1.99256,3.88051,0.01726
71.654,1.99312,5.11247,0.01726
