Time (s),Extension (mm),Load (N),Tensile strain (Strain 1) (mm/mm)
177.642,9.9655,20951.69336,0.08043
177.742,9.97387,20951.71289,0.0805
177.842,9.98244,20950.51562,0.08056
177.942,9.99044,20945.50781,0.08063
178.042,9.99887,20947.08008,0.08069
178.142,10.00731,20948.58203,0.08076
178.242,10.0155,20943.64453,0.08082
178.342,10.024,20944.23242,0.08089
178.442,10.03231,20945.98633,0.08096
178.542,10.04075,20940.41016,0.08102
178.642,10.04862,20937.19922,0.08108
178.742,10.057,20939.73242,0.08115
178.842,10.06581,20941.44727,0.08122
178.942,10.074,20937.88281,0.08128
179.042,10.08231,20936.36523,0.08135
179.142,10.09081,20937.04883,0.08142
179.242,10.09875,20927.70312,0.08148
179.342,10.10712,20930.91406,0.08155
179.442,10.1155,20932.375,0.08161
179.542,10.12394,20927.4668,0.08168
179.642,10.13212,20928.95312,0.08174
179.742,10.14062,20929.50781,0.08181
179.842,10.14906,20924.97266,0.08188
179.942,10.15706,20922.39648,0.08194
180.042,10.16562,20925.67188,0.08201
180.142,10.17394,20922.64258,0.08207
180.242,10.18206,20917.96094,0.08214
180.342,10.1905,20920.42383,0.0822
180.442,10.199,20922.18945,0.08227
180.542,10.20737,20917.38867,0.08233
180.642,10.21569,20917.55078,0.0824
180.742,10.22394,20914.34961,0.08247
180.842,10.23231,20911.9043,0.08253
180.942,10.24031,20907.95898,0.08259
181.042,10.24887,20911.41406,0.08266
181.142,10.25744,20912.44141,0.08273
181.242,10.26569,20907.16797,0.08279
181.342,10.27387,20904.21094,0.08286
181.442,10.28206,20904.75781,0.08292
181.542,10.29075,20904.95312,0.08299
181.642,10.29869,20900.6582,0.08305
181.742,10.30719,20902.95117,0.08312
181.842,10.31581,20900.97266,0.08319
181.942,10.32375,20896.10156,0.08325
182.042,10.33219,20897.70898,0.08332
182.142,10.34087,20899.53516,0.08339
182.242,10.34887,20889.96094,0.08345
182.342,10.35725,20890.45703,0.08351
182.442,10.36537,20889.13672,0.08358
182.542,10.37381,20885.98242,0.08365
182.642,10.38218,20889.98633,0.08371
182.742,10.39069,20888.68555,0.08378
182.842,10.39919,20883.99609,0.08385
182.942,10.40706,20879.27344,0.08391
183.042,10.41544,20881.25977,0.08397
183.142,10.42394,20881.42578,0.08404
183.242,10.43212,20876.88672,0.0841
183.342,10.44062,20878.84961,0.08417
183.442,10.44906,20878.08984,0.08424
183.542,10.45725,20871.57617,0.0843
183.642,10.46556,20873.1875,0.08437
183.742,10.47394,20872.54297,0.08443
183.842,10.48244,20869.00195,0.0845
183.942,10.49044,20863.37305,0.08456
184.042,10.49875,20863.94336,0.08463
184.142,10.50731,20866.0957,0.0847
184.242,10.51575,20863.52344,0.08476
184.342,10.524,20859.50586,0.08483
184.442,10.53225,20859.96289,0.08489
184.542,10.54069,20855.71094,0.08496
184.642,10.54856,20851.39062,0.08502
184.742,10.55712,20855.72461,0.08509
184.842,10.56587,20855.89844,0.08516
184.942,10.57393,20849.55859,0.08522
185.042,10.58225,20848.36133,0.08529
185.142,10.59069,20847.41797,0.08535
185.242,10.59875,20841.0957,0.08542
185.342,10.60731,20843.89648,0.08548
185.442,10.6155,20839.99219,0.08555
185.542,10.62394,20835.36914,0.08561
185.642,10.63206,20837.54492,0.08568
185.742,10.6405,20837.13281,0.08575
185.842,10.64919,20835.11914,0.08581
185.942,10.65712,20829.56836,0.08588
186.042,10.66562,20830.07617,0.08594
186.142,10.67387,20827.11328,0.08601
186.242,10.68187,20820.57617,0.08607
186.342,10.69062,20826.48242,0.08614
186.442,10.69912,20826.63281,0.08621
186.542,10.70744,20819.36523,0.08627
186.642,10.71562,20817.75586,0.08634
186.742,10.72381,20813.95312,0.0864
186.842,10.73231,20812.47266,0.08647
186.942,10.74044,20809.74805,0.08653
187.042,10.74887,20809.27734,0.0866
187.142,10.75744,20809.46094,0.08667
187.242,10.76556,20802.95898,0.08673
187.342,10.77387,20800.67188,0.0868
187.442,10.78225,20803.48047,0.08686
187.542,10.79081,20798.61523,0.08693
187.642,10.79869,20792.48242,0.08699
187.742,10.80712,20794.24805,0.08706
187.842,10.81569,20792.13867,0.08712
187.942,10.82381,20788.87891,0.08719
188.042,10.83231,20789.81836,0.08726
188.142,10.84081,20787.79883,0.08732
188.242,10.84887,20778.10156,0.08739
188.342,10.85712,20777.49219,0.08745
188.442,10.86537,20777.05859,0.08752
188.542,10.87394,20774.70703,0.08758
188.642,10.88219,20774.67969,0.08765
188.742,10.89069,20771.5625,0.08772
188.842,10.89912,20766.57812,0.08778
188.942,10.90693,20761.59766,0.08784
189.042,10.91562,20765.76367,0.08791
189.142,10.92393,20761.63477,0.08798
189.242,10.93206,20754.4668,0.08804
189.342,10.94062,20757.63867,0.08811
189.442,10.94887,20755.21289,0.08817
189.542,10.95737,20751.00781,0.08824
189.642,10.96569,20750.46875,0.08831
189.742,10.974,20746.18555,0.08837
189.842,10.98237,20740.68555,0.08844
189.942,10.99025,20734.8457,0.0885
190.042,10.99875,20736.68555,0.08857
190.142,11.00744,20738.69336,0.08863
190.242,11.01569,20731.70898,0.0887
190.342,11.024,20727.50391,0.08876
190.442,11.03219,20726.90625,0.08883
190.542,11.04062,20721.52734,0.0889
190.642,11.04869,20718.27148,0.08896
190.742,11.05719,20719.7793,0.08903
190.842,11.06581,20716.49219,0.08909
190.942,11.07394,20711.04102,0.08916
191.042,11.08212,20708.02539,0.08922
191.142,11.09075,20707.90625,0.08929
191.242,11.09894,20700.46289,0.08935
191.342,11.10725,20698.09375,0.08942
191.442,11.1155,20694.8418,0.08949
191.542,11.12381,20689.66992,0.08955
191.642,11.132,20690.08594,0.08962
191.742,11.14069,20691.64258,0.08968
191.842,11.14925,20684.99023,0.08975
191.942,11.15712,20676.79492,0.08981
192.042,11.16556,20677.19922,0.08988
192.142,11.17381,20673.48438,0.08994
192.242,11.182,20668.7832,0.09001
192.342,11.19069,20671.79297,0.09008
192.442,11.19906,20667.39258,0.09014
192.542,11.20737,20659.46289,0.09021
192.642,11.2155,20656.93359,0.09027
192.742,11.22387,20654.33203,0.09034
192.842,11.23244,20651.47852,0.09041
192.942,11.24044,20643.4668,0.09047
193.042,11.24887,20642.05469,0.09054
193.142,11.25725,20640.15625,0.0906
193.242,11.2655,20635.08984,0.09067
193.342,11.274,20633.38477,0.09073
193.442,11.28231,20631.11719,0.0908
193.542,11.29075,20623.25781,0.09087
193.642,11.29862,20617.43945,0.09093
193.742,11.307,20617.18945,0.09099
193.842,11.31581,20616.5625,0.09106
193.942,11.324,20610.99805,0.09113
194.042,11.33231,20605.9668,0.09119
194.142,11.34075,20603.45508,0.09126
194.242,11.34869,20592.15625,0.09132
194.342,11.35712,20592.44531,0.09139
194.442,11.36556,20591.22852,0.09145
194.542,11.374,20583.77539,0.09152
194.642,11.38219,20581.88672,0.09159
194.742,11.39056,20577.31836,0.09165
194.842,11.399,20570.73828,0.09172
194.942,11.40712,20567.21094,0.09178
195.042,11.41569,20566.39062,0.09185
195.142,11.42394,20559.83594,0.09191
195.242,11.432,20551.57812,0.09198
195.342,11.4405,20553.18359,0.09204
195.442,11.449,20550.99219,0.09211
195.542,11.45744,20543.98633,0.09218
195.642,11.46562,20539.85742,0.09224
195.742,11.47394,20534.09961,0.09231
195.842,11.48225,20527.19531,0.09237
195.942,11.49025,20520.44336,0.09244
196.042,11.49887,20521.32031,0.0925
196.142,11.50744,20518.9043,0.09257
196.242,11.51569,20508.85156,0.09264
196.342,11.52394,20503.75391,0.0927
196.442,11.53212,20501.23438,0.09277
196.542,11.54075,20496.77148,0.09283
196.642,11.54869,20489.41797,0.0929
196.742,11.55719,20487.59375,0.09296
196.842,11.56581,20483.36719,0.09303
196.942,11.57375,20474.46875,0.09309
197.042,11.58219,20472.47461,0.09316
197.142,11.59087,20470.1582,0.09323
197.242,11.59887,20456.97656,0.09329
197.342,11.60725,20453.94922,0.09336
197.442,11.61537,20448.87305,0.09342
197.542,11.62381,20441.99414,0.09349
197.642,11.63219,20442.12305,0.09355
197.742,11.64075,20437.50977,0.09362
197.842,11.64919,20427.66016,0.09369
197.942,11.65706,20418.48242,0.09375
198.042,11.66537,20416.04297,0.09382
198.142,11.67393,20414.76953,0.09388
198.242,11.68212,20405.14258,0.09395
198.342,11.69069,20403.17578,0.09401
198.442,11.699,20397.7207,0.09408
198.542,11.70725,20387.375,0.09414
198.642,11.71556,20385.2168,0.09421
198.742,11.724,20379.59766,0.09428
198.842,11.73244,20371.81836,0.09434
198.942,11.74037,20361.60156,0.09441
199.042,11.74875,20358.81055,0.09447
199.142,11.75731,20356.36719,0.09454
199.242,11.76569,20348.08789,0.0946
199.342,11.77406,20340.38672,0.09467
199.442,11.78225,20335.92383,0.09474
199.542,11.79069,20327.00977,0.0948
199.642,11.79856,20318.85938,0.09486
199.742,11.80712,20318.72852,0.09493
199.842,11.81587,20313.96289,0.095
199.942,11.82394,20302.5332,0.09506
200.042,11.83225,20297.05664,0.09513
200.142,11.84069,20291.58984,0.0952
200.242,11.84881,20279.88672,0.09526
200.342,11.85725,20277.41602,0.09533
200.442,11.86556,20270.43945,0.09539
200.542,11.87387,20259.75586,0.09546
200.642,11.88206,20256.81055,0.09552
200.742,11.89056,20251.84766,0.09559
200.842,11.89919,20244.2207,0.09566
200.942,11.90712,20233.39844,0.09572
201.042,11.91562,20229.25781,0.09579
201.142,11.92387,20221.8125,0.09585
201.242,11.93187,20210.31836,0.09591
201.342,11.94062,20211.38281,0.09598
201.442,11.94912,20205.63281,0.09605
201.542,11.95744,20193.05664,0.09611
201.642,11.96562,20185.80664,0.09618
201.742,11.97375,20177.15625,0.09624
201.842,11.98231,20171.10352,0.09631
201.942,11.99044,20162.49219,0.09637
202.042,11.99887,20156.28906,0.09644
202.142,12.00743,20150.73242,0.09651
202.242,12.01562,20137.92773,0.09657
202.342,12.02387,20128.83203,0.09664
202.442,12.03225,20125.7832,0.0967
202.542,12.04081,20115.625,0.09677
202.642,12.04869,20103.41016,0.09683
202.742,12.05712,20099.36133,0.0969
202.842,12.06569,20091.42578,0.09697
202.942,12.07387,20082.60156,0.09703
203.042,12.08237,20076.47656,0.0971
203.142,12.09081,20067.74219,0.09717
203.242,12.09887,20052.38086,0.09723
203.342,12.10712,20045.95117,0.09729
203.442,12.11537,20039.13281,0.09736
203.542,12.12393,20030.59766,0.09743
203.642,12.13219,20024.80859,0.09749
203.742,12.14069,20015.66797,0.09756
203.842,12.14906,20002.57227,0.09762
203.942,12.15694,19990.81641,0.09769
204.042,12.16562,19988.44922,0.09775
204.142,12.174,19978.21484,0.09782
204.242,12.18212,19962.60742,0.09788
204.342,12.19062,19957.83203,0.09795
204.442,12.19887,19947.90234,0.09802
204.542,12.20731,19936.24219,0.09808
204.642,12.21568,19929.76367,0.09815
204.742,12.224,19917.38086,0.09821
204.842,12.23244,19905.87305,0.09828
204.942,12.24025,19891.51562,0.09834
205.042,12.24875,19885.55273,0.09841
205.142,12.25744,19880.19141,0.09848
205.242,12.26569,19865.53125,0.09854
205.342,12.274,19853.36719,0.09861
205.442,12.28219,19845.45508,0.09867
205.542,12.29056,19832.05469,0.09874
205.642,12.29869,19822.92578,0.0988
205.742,12.30725,19816.93945,0.09887
205.842,12.31587,19805.26367,0.09894
205.942,12.32394,19790.83984,0.099
206.042,12.33212,19781,0.09907
206.142,12.34075,19773.30078,0.09913
206.242,12.34894,19758.43555,0.0992
206.342,12.35725,19748.69727,0.09926
206.442,12.36556,19737.56445,0.09933
206.542,12.37381,19722.49023,0.09939
206.642,12.38206,19715.95312,0.09946
206.742,12.39069,19706.92188,0.09953
206.842,12.39919,19692.53516,0.09959
206.942,12.40712,19676.50391,0.09966
207.042,12.4155,19667.18945,0.09972
207.142,12.42381,19654.99219,0.09979
207.242,12.432,19641.20898,0.09985
207.342,12.44069,19634.33789,0.09992
207.442,12.44912,19620.16016,0.09999
207.542,12.45737,19601.76758,0.10005
207.642,12.4655,19589.29102,0.10012
207.742,12.47387,19577.24609,0.10018
207.842,12.48237,19564.57227,0.10025
207.942,12.49044,19548.54297,0.10031
208.042,12.49894,19537.62305,0.10038
208.142,12.50731,19525.52734,0.10044
208.242,12.5155,19508.64258,0.10051
208.342,12.524,19497.20312,0.10058
208.442,12.53231,19484.92969,0.10064
208.542,12.54075,19466.06445,0.10071
208.642,12.54862,19449.98828,0.10077
208.742,12.557,19438.38477,0.10084
208.842,12.56581,19425.8457,0.10091
208.942,12.57394,19408.20898,0.10097
209.042,12.58237,19393.5957,0.10104
209.142,12.59081,19378.06055,0.1011
209.242,12.59869,19352.83008,0.10116
209.342,12.60719,19340.76953,0.10123
209.442,12.6155,19323.54102,0.1013
209.542,12.62394,19303.84375,0.10136
209.642,12.63219,19288.9668,0.10143
209.742,12.64056,19271.625,0.10149
209.842,12.64906,19251.08203,0.10156
209.942,12.65712,19233.10352,0.10162
210.042,12.66569,19217.45703,0.10169
210.142,12.674,19195.875,0.10176
210.242,12.68206,19170.04492,0.10182
210.342,12.6905,19152.1875,0.10189
210.442,12.699,19133.40039,0.10195
210.542,12.7075,19109.46875,0.10202
210.642,12.71569,19085.87305,0.10209
210.742,12.72394,19060.75195,0.10215
210.842,12.73225,19031.43945,0.10222
210.942,12.74031,18999.66602,0.10228
211.042,12.74894,18972.03711,0.10235
211.142,12.75744,18941.15039,0.10241
211.242,12.76569,18899.04883,0.10248
211.342,12.77394,18852.76367,0.10254
211.442,12.78212,18815.57227,0.10261
211.542,12.79075,18775.98242,0.10268
211.642,12.79869,18729.76367,0.10274
211.742,12.80719,18683.94727,0.10281
211.842,12.81581,18625.46875,0.10287
211.942,12.82381,18561.25586,0.10294
212.042,12.83225,18489.64258,0.103
212.142,12.84087,18396.05469,0.10307
212.242,12.84887,18304.0625,0.10313
212.342,12.85725,18208.40039,0.1032
212.442,12.86544,18071.4043,0.10326
212.542,12.87381,17888.35156,0.10333
212.642,12.88231,17684.38672,0.1034
212.742,12.89081,17421.97656,0.10346
212.842,12.89931,17164.50977,0.10353
212.942,12.90719,16703.38477,0.10359
213.042,12.91594,15674.83398,0.10366
213.142,12.92525,11878.26465,0.10374
213.242,12.93312,10045.11816,0.1038
213.342,12.94437,2362.67114,0.10389
213.364,12.94712,-84.63481,0.10391
